JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
AC|Achats|AC00001|20250213|601000|Achats de matieres premieres|||AC022573|20250213|FACT 250225 PAPETERIE EXPRESS|1138,39|0,00|||20250218||
AC|Achats|AC00001|20250213|421000|Personnel - Remunerations dues|||AC022573|20250213|FACT 250225 PAPETERIE EXPRESS|0,00|1138,39|||20250218||
AC|Achats|AC00002|20250903|621000|Personnel exterieur a l'entreprise|||AC091042|20250903|FACT 250210 TELECOM SAS|886,93|0,00|||20250908||
AC|Achats|AC00002|20250903|401000|Fournisseurs|F00005|BUREAU VERITAS|AC091042|20250903|FACT 250210 TELECOM SAS|0,00|886,93|||20250908||
AC|Achats|AC00003|20251128|627000|Services bancaires et assimiles|||AC119895|20251128|FACT 250223 FOURNITURES BUREAU|850,49|0,00|||20251201||
AC|Achats|AC00003|20251128|511000|Valeurs a l'encaissement|||AC119895|20251128|FACT 250223 FOURNITURES BUREAU|0,00|850,49|||20251201||
AC|Achats|AC00004|20251107|626000|Frais postaux et de telecommunications|||AC116412|20251107|FACT 250124 TELECOM SAS|386,57|0,00|||20251107||
AC|Achats|AC00004|20251107|403000|Fournisseurs - Effets a payer|||AC116412|20251107|FACT 250124 TELECOM SAS|0,00|386,57|||20251107||
AC|Achats|AC00005|20250811|606400|Fournitures administratives|||AC087489|20250811|FACT 250103 FOURNITURES BUREAU|643,84|0,00|||20250813||
AC|Achats|AC00005|20250811|418100|Clients - Factures a etablir|||AC087489|20250811|FACT 250103 FOURNITURES BUREAU|0,00|643,84|||20250813||
AC|Achats|AC00006|20250605|625700|Receptions|||AC069408|20250605|FACT 250217 PAPETERIE EXPRESS|1131,91|0,00|||20250612||
AC|Achats|AC00006|20250605|487000|Produits constates d'avance|||AC069408|20250605|FACT 250217 PAPETERIE EXPRESS|0,00|1131,91|||20250612||
AC|Achats|AC00007|20251030|401000|Fournisseurs|F00002|TELECOM SAS|AC101334|20251030|FACT 250105 ELECTRICITE DE FRANCE|8060,77|0,00|||20251104||
AC|Achats|AC00007|20251030|580000|Virements internes|||AC101334|20251030|FACT 250105 ELECTRICITE DE FRANCE|0,00|8060,77|||20251104||
AC|Achats|AC00008|20250527|606300|Fournitures d'entretien et petit equipement|||AC059826|20250527|FACT 250226 ELECTRICITE DE FRANCE|1584,76|0,00|||20250528||
AC|Achats|AC00008|20250531|416000|Clients douteux|||AC059826|20250527|FACT 250226 ELECTRICITE DE FRANCE|0,00|1584,76|||20250528||
AC|Achats|AC00009|20250218|622600|Honoraires|||AC023867|20250218|FACT 250105 DALKIA FRANCE|339,03|0,00|||20250218||
