JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
AC|Achats|AC00001|20250121|625100|Voyages et deplacements|||AC019568|20250121|FACT 250221 TELECOM SAS|90,21|0,00|||20250123||
AC|Achats|AC00001|20250121|445520|TVA due intracommunautaire|||AC019568|20250121|FACT 250221 TELECOM SAS|0,00|90,21|||20250123||
AC|Achats|AC00002|20251215|615500|Entretien et reparations sur biens mobiliers|||AC125518|20251215|FACT 250108 FOURNITURES BUREAU|1990,54|0,00|||20251222||
AC|Achats|AC00002|20251215|512000|Banque principale|||AC125518|20251215|FACT 250108 FOURNITURES BUREAU|0,00|1990,54|||20251222||
AC|Achats|AC00003|20250520|602200|Achats de fournitures consommables|||AC057949|20250520|FACT 250207 ELECTRICITE DE FRANCE|874,22|0,00|||20250521||
AC|Achats|AC00003|20250520|401000|Fournisseurs|F00006|MAINTENANCE PRO|AC057949|20250520|FACT 250207 ELECTRICITE DE FRANCE|0,00|874,22|U2|20251230|20250521||
AC|Achats|AC00004|20251010|602100|Achats de matieres consommables|||AC105282|20251010|FACT 250114 FOURNITURES BUREAU|1004,65|0,00|||20251017||
AC|Achats|AC00004|20251010|455000|Associes - Comptes courants|||AC105282|20251010|FACT 250114 FOURNITURES BUREAU|0,00|1004,65|||20251017||
AC|Achats|AC00005|20250531|615200|Entretien et reparations sur biens immobiliers|||AC053224|20250530|FACT 250223 PAPETERIE EXPRESS|429,92|0,00|||20250602||
AC|Achats|AC00005|20250530|445510|TVA a decaisser|||AC053224|20250530|FACT 250223 PAPETERIE EXPRESS|0,00|429,92|||20250602||
AC|Achats|AC00006|20250403|601000|Achats de matieres premieres|||AC048646|20250403|FACT 250112 ELECTRICITE DE FRANCE|532,77|0,00|||20250405||
AC|Achats|AC00006|20250403|468600|Charges a payer|||AC048646|20250403|FACT 250112 ELECTRICITE DE FRANCE|0,00|532,77|||20250405||
AC|Achats|AC00007|20250411|622600|Honoraires|||AC042388|20250411|FACT 250102 DALKIA FRANCE|1973,14|0,00|||20250417||
AC|Achats|AC00007|20250411|471000|Compte d'attente|||AC042388|20250411|FACT 250102 DALKIA FRANCE|0,00|1973,14|||20250417||
AC|Achats|AC00008|20251222|623100|Annonces et insertions|||AC124274|20251222|FACT 250115 PAPETERIE EXPRESS|532,17|0,00|||20251225||
AC|Achats|AC00008|20251222|404000|Fournisseurs d'immobilisations|||AC124274|20251222|FACT 250115 PAPETERIE EXPRESS|0,00|532,17|||20251225||
AC|Achats|AC00009|20250106|625600|Missions|||AC013079|20250106|FACT 250226 FOURNITURES BUREAU|1147,60|0,00|||20250112||
AC|Achats|AC00009|20250106|471000|Compte d'attente|||AC013079|20250106|FACT 250226 FOURNITURES BUREAU|0,00|1147,60|||20250112||
AC|Achats|AC00010|20250403|602200|Achats de fournitures consommables|||AC047881|20250403|FACT 250209 TELECOM SAS|886,72|0,00|||20250406||
AC|Achats|AC00010|20250403|431000|Securite sociale|||AC047881|20250403|FACT 250209 TELECOM SAS|0,00|886,72|||20250406||
AC|Achats|AC00011|20250922|627000|Services bancaires et assimiles|||AC097895|20250922|FACT 250210 FOURNITURES BUREAU|1244,32|0,00|||20250923||
AC|Achats|AC00011|20250922|491000|Depreciation des comptes clients|||AC097895|20250922|FACT 250210 FOURNITURES BUREAU|0,00|1244,32|||20250923||
AC|Achats|AC00012|20251003|615200|Entretien et reparations sur biens immobiliers|||AC106551|20251003|FACT 250216 TELECOM SAS|249,35|0,00|||20251006||
AC|Achats|AC00012|20251004|486000|Charges constatees d'avance|||AC106551|20251003|FACT 250216 TELECOM SAS|0,00|249,35|||20251006||
AC|Achats|AC00013|20250131|623100|Annonces et insertions|||AC013009|20250131|FACT 250119 PAPETERIE EXPRESS|448,71|0,00|||20250204||
AC|Achats|AC00013|20250131|445870|TVA sur factures a etablir|||AC013009|20250131|FACT 250119 PAPETERIE EXPRESS|0,00|448,71|||20250204||
AC|Achats|AC00014|20250331|623400|Cadeaux a la clientele|||AC037813|20250331|FACT 250225 TELECOM SAS|1270,85|0,00|||20250404||
AC|Achats|AC00014|20250331|508000|Interets courus sur VMP|||AC037813|20250331|FACT 250225 TELECOM SAS|0,00|1270,85|||20250404||
AC|Achats|AC00015|20250411|623100|Annonces et insertions|||AC048026|20250411|FACT 250119 ELECTRICITE DE FRANCE|1496,64|0,00|||20250417||
AC|Achats|AC00015|20250411|445520|TVA due intracommunautaire|||AC048026|20250411|FACT 250119 ELECTRICITE DE FRANCE|0,00|1496,64|||20250417||
AC|Achats|AC00016|20251128|614000|Charges locatives|||AC112736|20251128|FACT 250201 PAPETERIE EXPRESS|1237,34|0,00|||20251205||
AC|Achats|AC00016|20251128|451000|Groupe|||AC112736|20251128|FACT 250201 PAPETERIE EXPRESS|0,00|1237,34|||20251205||
AC|Achats|AC00017|20250919|606400|Fournitures administratives|||AC093328|20250919|FACT 250202 TELECOM SAS|257,49|0,00|||20250923||
AC|Achats|AC00017|20250919|409100|Fournisseurs - Avances et acomptes verses|||AC093328|20250919|FACT 250202 TELECOM SAS|0,00|257,49|||20250923||
AC|Achats|AC00018|20250908|627000|Services bancaires et assimiles|||AC095599|20250908|FACT 250224 FOURNITURES BUREAU|828,92|0,00|||20250915||
AC|Achats|AC00018|20250908|518100|Interets courus a payer|||AC095599|20250908|FACT 250224 FOURNITURES BUREAU|0,00|828,92|||20250915||
AC|Achats|AC00019|20250923|615200|Entretien et reparations sur biens immobiliers|||AC099588|20250923|FACT 250108 ELECTRICITE DE FRANCE|403,53|0,00|||20250928||
AC|Achats|AC00019|20250923|512100|Banque secondaire|||AC099588|20250923|FACT 250108 ELECTRICITE DE FRANCE|0,00|403,53|||20250928||
AC|Achats|AC00020|20250725|602260|Achats d'emballages|||AC071055|20250725|FACT 250124 FOURNITURES BUREAU|972,98|0,00|||20250729||
AC|Achats|AC00020|20250725|425000|Personnel - Avances et acomptes|||AC071055|20250725|FACT 250124 FOURNITURES BUREAU|0,00|972,98|||20250729||
AC|Achats|AC00021|20251128|622600|Honoraires|||AC116919|20251128|FACT 250107 DALKIA FRANCE|608,48|0,00|||20251130||
AC|Achats|AC00021|20251128|518700|Interets courus a recevoir|||AC116919|20251128|FACT 250107 DALKIA FRANCE|0,00|608,48|||20251130||
AC|Achats|AC00022|20251031|606400|Fournitures administratives|||AC109154|20251031|FACT 250120 ELECTRICITE DE FRANCE|1004,57|0,00|||20251101||
AC|Achats|AC00022|20251031|445860|TVA sur factures non parvenues|||AC109154|20251031|FACT 250120 ELECTRICITE DE FRANCE|0,00|1004,57|||20251101||
AC|Achats|AC00023|20250501|602260|Achats d'emballages|||AC059443|20250501|FACT 250222 FOURNITURES BUREAU|995,91|0,00|||20250503||
AC|Achats|AC00023|20250501|512000|Banque principale|||AC059443|20250501|FACT 250222 FOURNITURES BUREAU|0,00|995,91|||20250503||
AC|Achats|AC00024|20250924|607000|Achats de marchandises|||AC098324|20250924|FACT 250129 ELECTRICITE DE FRANCE|44,66|0,00|||20250927||
AC|Achats|AC00024|20250924|408100|Fournisseurs - Factures non parvenues|||AC098324|20250924|FACT 250129 ELECTRICITE DE FRANCE|0,00|44,66|||20250927||
AC|Achats|AC00025|20250701|616000|Primes d'assurance|||AC078938|20250701|FACT 250120 FOURNITURES BUREAU|172,21|0,00|||20250703||
AC|Achats|AC00025|20250701|445860|TVA sur factures non parvenues|||AC078938|20250701|FACT 250120 FOURNITURES BUREAU|0,00|172,21|||20250703||
