JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
AC|Achats|AC00001|20230216|623000|Publicite, publications, relations publiques|||AC028211|20230216|FACT 250116 FOURNITURES BUREAU|381,84|0,00|||20230217||
AC|Achats|AC00001|20230216|408100|Fournisseurs - Factures non parvenues|||AC028211|20230216|FACT 250116 FOURNITURES BUREAU|0,00|381,84|||20230217||
AC|Achats|AC00002|20230224|615200|Entretien et reparations sur biens immobiliers|||AC029392|20230224|FACT 250209 TELECOM SAS|662,07|0,00|||20230225||
AC|Achats|AC00002|20230224|418100|Clients - Factures a etablir|||AC029392|20230224|FACT 250209 TELECOM SAS|0,00|662,07|||20230225||
AC|Achats|AC00003|20230505|616000|Primes d'assurance|||AC058152|20230505|FACT 250104 DALKIA FRANCE|1366,38|0,00|||20230510||
AC|Achats|AC00003|20230505|518700|Interets courus a recevoir|||AC058152|20230505|FACT 250104 DALKIA FRANCE|0,00|1366,38|||20230510||
AC|Achats|AC00004|20231006|612000|Redevances de credit-bail|||AC103145|20231006|FACT 250105 ELECTRICITE DE FRANCE|290,46|0,00|||20231010||
AC|Achats|AC00004|20231006|419100|Clients - Avances et acomptes recus|||AC103145|20231006|FACT 250105 ELECTRICITE DE FRANCE|0,00|290,46|||20231010||
AC|Achats|AC00005|20230501|612000|Redevances de credit-bail|||AC051885|20230501|FACT 250114 ELECTRICITE DE FRANCE|180,14|0,00|||20230508||
AC|Achats|AC00005|20230501|467000|Autres comptes debiteurs ou crediteurs|||AC051885|20230501|FACT 250114 ELECTRICITE DE FRANCE|0,00|180,14|||20230508||
AC|Achats|AC00006|20230717|616000|Primes d'assurance|||AC079841|20230717|FACT 250130 FOURNITURES BUREAU|1261,64|0,00|||20230720||
AC|Achats|AC00006|20230717|416000|Clients douteux|||AC079841|20230717|FACT 250130 FOURNITURES BUREAU|0,00|1261,64|||20230720||
AC|Achats|AC00007|20230228|625600|Missions|||AC023000|20230228|FACT 250213 PAPETERIE EXPRESS|1966,27|0,00|||20230306||
AC|Achats|AC00007|20230228|418100|Clients - Factures a etablir|||AC023000|20230228|FACT 250213 PAPETERIE EXPRESS|0,00|1966,27|||20230306||
AC|Achats|AC00008|20230320|606100|Electricite, gaz, eau|||AC031307|20230320|FACT 250131 DALKIA FRANCE|909,33|0,00|||20230321||
AC|Achats|AC00008|20230320|518100|Interets courus a payer|||AC031307|20230320|FACT 250131 DALKIA FRANCE|0,00|909,33|||20230321||
AC|Achats|AC00009|20230413|626000|Frais postaux et de telecommunications|||AC048001|20230413|FACT 250204 PAPETERIE EXPRESS|437,19|0,00|||20230417||
AC|Achats|AC00009|20230413|445660|TVA deductible sur ABS|||AC048001|20230413|FACT 250204 PAPETERIE EXPRESS|0,00|437,19|||20230417||
AC|Achats|AC00010|20231211|601000|Achats de matieres premieres|||AC125660|20231211|FACT 250201 PAPETERIE EXPRESS|915,09|0,00|||20231214||
AC|Achats|AC00010|20231211|580000|Virements internes|||AC125660|20231211|FACT 250201 PAPETERIE EXPRESS|0,00|915,09|||20231214||
AC|Achats|AC00011|20230412|627000|Services bancaires et assimiles|||AC048540|20230412|FACT 250129 ELECTRICITE DE FRANCE|456,89|0,00|||20230418||
AC|Achats|AC00011|20230412|511000|Valeurs a l'encaissement|||AC048540|20230412|FACT 250129 ELECTRICITE DE FRANCE|0,00|456,89|||20230418||
AC|Achats|AC00012|20230926|611000|Sous-traitance generale|||AC096636|20230926|FACT 250127 DALKIA FRANCE|1275,66|0,00|||20230929||
AC|Achats|AC00012|20230926|445510|TVA a decaisser|||AC096636|20230926|FACT 250127 DALKIA FRANCE|0,00|1275,66|||20230929||
AC|Achats|AC00013|20230915|627000|Services bancaires et assimiles|||AC092595|20230915|FACT 250121 ELECTRICITE DE FRANCE|992,53|0,00|||20230922||
AC|Achats|AC00013|20230915|413000|Clients - Effets a recevoir|||AC092595|20230915|FACT 250121 ELECTRICITE DE FRANCE|0,00|992,53|||20230922||
AC|Achats|AC00014|20230208|613200|Locations immobilieres|||AC028663|20230208|FACT 250210 TELECOM SAS|1781,58|0,00|||20230210||
AC|Achats|AC00014|20230208|445870|TVA sur factures a etablir|||AC028663|20230208|FACT 250210 TELECOM SAS|0,00|1781,58|||20230210||
AC|Achats|AC00015|20231201|602200|Achats de fournitures consommables|||AC121243|20231201|FACT 250128 DALKIA FRANCE|1954,45|0,00|||20231205||
